food,la_cal,cal,percent,category
"Oil, sunflower, linoleic, (approx. 65%)",591.3,884.0,66.9,High LA
"Oil, wheat germ",493.2,884.0,55.8,High LA
"Oil, walnut",476.1,884.0,53.9,High LA
"Oil, corn, industrial and retail, all purpose salad or cooking",481.635,900.0,53.5,High LA
"Oil, cottonseed, salad or cooking",463.5,884.0,52.4,High LA
"Nuts, walnuts, english",342.837,654.0,52.4,High LA
"Seeds, sunflower seed kernels, oil roasted, without salt",307.872,592.0,52.0,High LA
"Oil, soybean, salad or cooking",458.568,884.0,51.9,High LA
"Salad dressing, mayonnaise, regular",352.314,680.0,51.8,High LA
"Seeds, sunflower seed kernels, dry roasted, without salt",295.038,582.0,50.7,High LA
"Nuts, walnuts, black, dried",303.84,619.0,49.1,High LA
"Spices, poppy seed",254.655,525.0,48.5,High LA
"Salad dressing, caesar dressing, regular",260.73,542.0,48.1,High LA
"Salad dressing, bacon and tomato",155.196,326.0,47.6,High LA
"Salad dressing, sesame seed dressing, regular",208.8,443.0,47.1,High LA
"Salad dressing, ranch dressing, regular",200.916,430.0,46.7,High LA
"Salad dressing, peppercorn dressing, commercial, regular",261.054,564.0,46.3,High LA
"Oil, soybean, salad or cooking, (partially hydrogenated) and cottonseed",407.7,884.0,46.1,High LA
"Sauce, horseradish",229.716,503.0,45.7,High LA
"Salad dressing, home recipe, vinegar and oil",204.3,449.0,45.5,High LA
"Salad dressing, blue or roquefort cheese dressing, commercial, regular",218.853,484.0,45.2,High LA
"Nuts, pine nuts, dried",298.35,673.0,44.3,High LA
"Salad dressing, green goddess, regular",183.924,427.0,43.1,High LA
"Salad dressing, mayonnaise, light",102.681,238.0,43.1,High LA
"Salad dressing, mayonnaise, imitation, soybean without cholesterol",207.0,482.0,42.9,High LA
"Oil, sesame, salad or cooking",371.7,884.0,42.0,High LA
"Sandwich spread, with chopped pickle, regular, unspecified oils",162.9,389.0,41.9,High LA
"Margarine-like spread with yogurt, approximately 40% fat, tub, with salt",135.36,330.0,41.0,High LA
"Mayonnaise, made with tofu",130.806,322.0,40.6,High LA
"Margarine-like, vegetable oil spread, 20% fat, without salt",70.56,175.0,40.3,High LA
"Margarine-like, vegetable oil spread, 20% fat, with salt",70.56,175.0,40.3,High LA
"Bacon, meatless",123.804,309.0,40.1,High LA
"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",213.624,533.0,40.1,High LA
"Margarine-like, vegetable oil spread, 60% fat, stick/tub/bottle, without salt",213.624,533.0,40.1,High LA
"Salad dressing, honey mustard, regular",181.089,464.0,39.0,High LA
"Salad dressing, mayonnaise type, regular, with salt",96.651,250.0,38.7,High LA
"Salad dressing, thousand island, commercial, regular",142.821,379.0,37.7,High LA
"Margarine-like, vegetable oil spread, 60% fat, stick/tub/bottle, with salt",194.508,526.0,37.0,High LA
"Salad dressing, coleslaw",144.0,390.0,36.9,High LA
"Margarine-like, vegetable oil spread, fat free, liquid, with salt",15.678,43.0,36.5,High LA
"Salad dressing, french dressing, commercial, regular",164.628,457.0,36.0,High LA
"Seeds, sesame seed kernels, dried (decorticated)",227.043,631.0,36.0,High LA
"Seeds, sunflower seed kernels, dried",207.45,584.0,35.5,High LA
"Oil, soybean, salad or cooking, (partially hydrogenated)",314.1,884.0,35.5,High LA
"Oil, industrial, soy (partially hydrogenated), multiuse for non-dairy butter fla",311.067,884.0,35.2,High LA
"Margarine-like, vegetable oil spread, stick or tub, sweetened",187.83,534.0,35.2,High LA
"Seeds, sesame butter, tahini, from roasted and toasted kernels (most common type",208.197,595.0,35.0,High LA
"Salad dressing, mayonnaise, imitation, soybean",81.0,232.0,34.9,High LA
"Salad dressing, italian dressing, commercial, regular",83.187,240.0,34.7,High LA
"Salad dressing, poppyseed, creamy",137.673,399.0,34.5,High LA
"Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat",201.051,583.0,34.5,High LA
"Shortening, industrial, soy (partially hydrogenated ) and corn for frying",303.435,884.0,34.3,High LA
